Epoch 1001: NMI 0.646, RI NA
Epoch 2001: NMI 0.625, RI NA
Epoch 3001: NMI 0.691, RI NA
Epoch 4001: NMI 0.755, RI NA
Epoch 5001: NMI 0.789, RI NA
Epoch 6001: NMI 0.789, RI NA
Epoch 7001: NMI 0.789, RI NA
Epoch 8001: NMI 0.789, RI NA
Epoch 9001: NMI 0.789, RI NA
Epoch 10001: NMI 0.789, RI NA
Epoch 11001: NMI 0.789, RI NA
Epoch 12001: NMI 0.789, RI NA
Epoch 13001: NMI 0.789, RI NA
Epoch 14001: NMI 0.789, RI NA
Epoch 15001: NMI 0.789, RI NA
Epoch 16001: NMI 0.789, RI NA
Epoch 17001: NMI 0.789, RI NA
Epoch 18001: NMI 0.789, RI NA
Epoch 19001: NMI 0.789, RI NA
Epoch 20001: NMI 0.789, RI NA
