Epoch 1001: NMI 0.611, RI 0.778
Epoch 2001: NMI 0.806, RI 0.889
Epoch 3001: NMI 0.806, RI 0.889
Epoch 4001: NMI 0.806, RI 0.889
Epoch 5001: NMI 0.806, RI 0.889
Epoch 6001: NMI 0.806, RI 0.889
Epoch 7001: NMI 0.806, RI 0.889
Epoch 8001: NMI 0.806, RI 0.889
Epoch 9001: NMI 0.806, RI 0.889
Epoch 10001: NMI 0.806, RI 0.889
Epoch 11001: NMI 0.806, RI 0.889
Epoch 12001: NMI 0.806, RI 0.889
Epoch 13001: NMI 0.806, RI 0.889
Epoch 14001: NMI 0.806, RI 0.889
Epoch 15001: NMI 0.806, RI 0.889
Epoch 16001: NMI 0.806, RI 0.889
Epoch 17001: NMI 0.806, RI 0.889
Epoch 18001: NMI 0.806, RI 0.889
Epoch 19001: NMI 0.806, RI 0.889
Epoch 20001: NMI 0.806, RI 0.889
Epoch 21001: NMI 0.806, RI 0.889
Epoch 22001: NMI 0.806, RI 0.889
Epoch 23001: NMI 0.806, RI 0.889
Epoch 24001: NMI 0.806, RI 0.889
Epoch 25001: NMI 0.806, RI 0.889
Epoch 26001: NMI 0.806, RI 0.889
Epoch 27001: NMI 0.806, RI 0.889
Epoch 28001: NMI 0.806, RI 0.889
Epoch 29001: NMI 0.806, RI 0.889
Epoch 30001: NMI 0.806, RI 0.889
