,Cluster 0 Prediction,Cluster 1 Prediction,True
Microbe 0,0.763,0.237,0
Microbe 1,0.604,0.396,0
Microbe 2,0.0,1.0,0
Microbe 3,0.731,0.269,0
Microbe 4,0.682,0.318,0
Microbe 5,0.696,0.304,0
Microbe 6,0.0,1.0,1
Microbe 7,0.616,0.384,0
Microbe 8,0.633,0.367,0
Microbe 9,0.652,0.348,0
Microbe 10,0.634,0.366,0
Microbe 11,0.0,1.0,1
Microbe 12,0.0,1.0,1
Microbe 13,0.001,0.999,1
Microbe 14,0.71,0.29,0
Microbe 15,0.604,0.396,0
Microbe 16,0.005,0.995,1
Microbe 17,0.755,0.245,0
Microbe 18,0.811,0.189,0
Microbe 19,0.586,0.414,0
