,Cluster 0 Prediction,Cluster 1 Prediction,True
Microbe 0,0.748,0.252,1
Microbe 1,0.0,1.0,0
Microbe 2,0.0,1.0,0
Microbe 3,0.662,0.338,1
Microbe 4,0.807,0.193,1
Microbe 5,0.0,1.0,0
Microbe 6,0.0,1.0,0
Microbe 7,0.626,0.374,1
Microbe 8,0.879,0.121,1
Microbe 9,0.0,1.0,1
Microbe 10,0.0,1.0,0
Microbe 11,0.0,1.0,0
Microbe 12,0.0,1.0,0
Microbe 13,0.233,0.767,1
Microbe 14,0.652,0.348,1
Microbe 15,0.724,0.276,1
Microbe 16,0.0,1.0,0
Microbe 17,0.651,0.349,1
Microbe 18,0.0,1.0,0
Microbe 19,0.79,0.21,1
Microbe 20,1.0,0.0,1
Microbe 21,0.647,0.353,1
