,Cluster 0 Prediction,Cluster 1 Prediction,True
Metabolite 0,1.0,0.0,0
Metabolite 1,1.0,0.0,0
Metabolite 2,1.0,0.0,0
Metabolite 3,0.003,0.997,1
Metabolite 4,1.0,0.0,0
Metabolite 5,1.0,0.0,0
Metabolite 6,0.996,0.004,0
Metabolite 7,1.0,0.0,0
Metabolite 8,1.0,0.0,0
Metabolite 9,1.0,0.0,0
Metabolite 10,0.0,1.0,1
Metabolite 11,1.0,0.0,0
Metabolite 12,0.997,0.003,0
Metabolite 13,1.0,0.0,0
Metabolite 14,0.001,0.999,1
Metabolite 15,0.001,0.999,1
Metabolite 16,0.002,0.998,1
Metabolite 17,0.0,1.0,1
Metabolite 18,0.0,1.0,1
Metabolite 19,0.997,0.003,0
