,Cluster 0 Prediction,Cluster 1 Prediction,Cluster 2 Prediction,True
Microbe 0,0.014,0.879,0.108,2
Microbe 1,0.0,1.0,0.0,2
Microbe 2,0.0,0.844,0.156,2
Microbe 3,0.0,0.981,0.019,2
Microbe 4,0.669,0.022,0.309,1
Microbe 5,0.0,0.875,0.125,2
Microbe 6,0.0,0.941,0.059,2
Microbe 7,0.78,0.0,0.22,1
Microbe 8,0.733,0.201,0.065,1
Microbe 9,0.062,0.789,0.15,2
Microbe 10,0.0,0.686,0.314,0
Microbe 11,0.0,1.0,0.0,0
Microbe 12,0.007,0.486,0.507,0
Microbe 13,0.002,0.845,0.152,2
Microbe 14,1.0,0.0,0.0,2
Microbe 15,0.716,0.0,0.284,1
Microbe 16,0.0,0.611,0.389,0
Microbe 17,0.719,0.002,0.278,1
Microbe 18,0.0,0.865,0.135,2
Microbe 19,0.733,0.001,0.266,1
Microbe 20,0.761,0.0,0.239,1
Microbe 21,0.001,0.846,0.153,2
